Fund name,Date,NAV
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-07,9.0685
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-08,9.1007
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-11,9.0648
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-12,9.0313
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-13,9.1696
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-14,9.0297
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-15,9.0118
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-18,8.7878
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-19,8.7917
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-20,8.9231
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-21,8.9306
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-22,8.8794
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-26,8.9023
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-27,9.0452
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-28,9.1711
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-29,9.2211
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-01,9.4107
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-02,9.5022
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-03,9.5524
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-04,9.5192
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-05,9.595
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-08,9.6215
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-09,9.5436
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-10,9.5842
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-11,9.4553
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-12,9.5056
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-15,9.3973
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-16,9.4622
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-17,9.4263
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-18,9.5294
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-19,9.6475
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-22,9.6924
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-23,9.8234
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-24,9.7221
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-25,9.7197
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-26,9.7635
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-29,9.6901
