Fund Name,Date,NAV
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-11,26.9167
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-12,26.9002
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-13,26.9136
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-14,26.9171
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-17,26.9248
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-18,26.9149
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-19,26.9367
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-20,26.9393
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-21,26.9377
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-25,26.9434
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-27,26.937
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-28,26.9608
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-31,26.9525
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-01,26.9448
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-02,26.9618
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-03,26.9462
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-04,26.9419
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-07,26.9583
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-09,26.9589
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-10,26.9605
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-11,26.9596
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-14,26.9692
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-15,26.9753
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-16,27.0069
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-17,27.0139
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-18,27.0106
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-21,27.0348
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-11-22,27.0272
